civilianwia,civiliankia,latitude,longitude
3,0,31.51602936,65.45257568
1,0,33.94888687,69.05259705
1,0,31.86016464,64.70287323
0,0,34.58972168,69.76249695
2,0,32.10556412,64.86541748
1,0,34.88606644,69.64839935
2,0,32.0683136,64.82822418
0,0,32.23718262,63.23436737
3,2,31.67648888,64.12952423
1,1,32.94018555,69.1786499
0,0,33.14517212,68.79198456
0,0,34.10863495,62.4978447
0,2,31.65296745,65.04427338
0,0,34.40105057,70.49648285
2,0,34.49661636,70.1284256
2,0,32.1960144,63.29176331
2,0,34.43305206,70.4524231
0,1,34.00456238,69.01872253
0,0,34.38405991,69.49311066
1,0,32.05913544,64.82676697
1,0,31.63064003,65.73719788
1,0,31.61394501,65.69541168
0,0,34.53042984,69.25062561
0,0,32.34589767,64.7677002
0,0,31.06037521,64.18856812
1,0,32.15319443,63.43691254
1,0,34.54486084,69.24958038
9,0,32.62146378,62.46277237
0,0,31.6460228,64.50301361
31,17,31.81765938,64.57109833
1,0,30.80099106,64.13728333
0,8,31.37857056,64.3276825
0,0,33.34305954,69.92311859
3,2,32.5011673,69.26773071
1,0,32.07555389,64.84531403
0,0,34.31847382,68.7286377
0,0,34.98443222,70.85583496
42,9,33.34036255,69.92201233
1,0,33.80693817,68.50307465
0,0,31.98259354,65.47470093
5,0,34.75622559,71.01533508
0,1,32.51222992,63.6033287
0,0,30.13303566,63.39260101
0,0,34.07282639,68.85856628
0,0,32.35005951,64.52561951
0,5,36.57697296,69.85726166
0,0,36.61360931,68.87741852
16,6,33.54024506,68.42311096
0,0,37.64387512,70.42241669
0,0,34.89432907,70.91519165
0,0,36.66845322,68.89281464
1,7,31.60362434,64.20046234
0,2,31.50305367,65.41413116
0,1,31.8770256,64.20030212
3,3,32.79027176,69.08169556
2,1,31.76605988,64.39294434
1,4,31.63178253,65.68598938
0,0,31.12709808,64.1039505
0,0,31.66197968,64.23498535
0,1,34.31341934,68.70363617
1,0,32.32873535,66.16784668
0,1,31.71727562,64.39949799
2,0,33.98878479,68.70709229
1,0,31.1329937,64.18968201
2,0,30.97921562,64.174263
0,1,33.89858627,68.64871216
0,0,33.13450241,68.0674057
3,4,34.50643539,69.14041901
0,1,36.15205383,64.59915924
0,1,34.54489136,69.23432159
0,1,32.41451263,67.70909119
2,1,32.63220596,65.88856506
1,0,32.76405716,69.29723358
4,0,34.99943924,71.31565857
1,0,34.74960327,71.02178192
0,1,31.58586693,65.43294525
0,1,31.75142097,64.45174408
1,0,34.66720581,70.20603943
1,1,32.62293625,67.27536774
1,0,33.39113617,62.25163269
1,1,34.33428574,62.21618271
1,1,31.76883888,64.34430695
